root,draft_short_gloss,flag,source_snippet
أبو,"Yz, . , . , or this is a simple subst., I became a father.",,"1 أَبَوْتُ ذ , [third pers. أَبَا ,] (T, S, M, K,) and أَبَيْتُ , [third pers. أَبَى ,] (T, M, K,) the latter accord. to Yz, (T,) aor. آبُو , (TK,) inf. n. أُبُوَّةٌ , (Yz, T, S, Msb,) or this is a s"
أجج,"The fire burned, burned up, burned brightly, or fiercely, blazed, or flamed, or blazed or flamed fiercely; as also and [written with the disjunctive alif ]: (S, K:) or made a sound by its blazing or flaming.",,"1 أَجَّتِ النَّارُ ذ , (S, A, Msb,) aor. اَجُجَ (S, Msb) and اَجِجَ , (M, TA,) [the former contr. to analogy, and the latter agreeable therewith, in the case of an intrans. verb of this class,] inf. n"
أحد,He made it one; or called it one: as also .,,"2   أحّدهُ   ذ   , [inf. n. تَأْحِيدٌ ,] He made it one; or called it one: as also وحّدهُ . (TA in art. وحد .) You say, أَحِّدِ الِاثْنَيْنِ   Make thou the two to become one. (K.) It is related in a "
أخر,"He granted me a delay, or postponement, to a certain term, or period.",,"2   أخّر   ذ   , (S, K, &amp;c.,) inf. n. تَأْخِيرٌ , (K,) is trans. (S, K, &amp;c.) and intrans.: (K:) as a trans. verb it signifies He made to go back or backwards, to recede, retreat, retire, or re"
أخو,"Thou becamest a brother [in the proper sense of this word, and also as meaning a friend, or companion, or the like ].",,"1 أَخَوْتَ ذ , [third pers. أَخَا ,] (S, K,) aor. تَأْخُو , (S,) inf. n. أُخُوَّةٌ ; (S, K, &amp;c.;) and , (K, TA,) [in the CK اَخَيْتُ , which is wrong in respect of the pers., and otherwise, for it"
أدد,"Lh, whence it seems that he made the .",,"1 أَدَّتَّةُ دَاهِيَةٌ ذ , aor اَدُدَ (T, S; M, K) and اَدِدَ , (M, K,) but this latter is strange, [anomalous,] and unknown, (TA,) and اَدَدَ , (M, K,) mentioned by Lh, whence it seems that he made t"
أدي,"Lh, whence it seems that he made the .",,"1   أَدَّتَّةُ دَاهِيَةٌ   ذ   , aor   اَدُدَ   (T, S; M, K) and   اَدِدَ   , (M, K,) but this latter is strange, [anomalous,] and unknown, (TA,) and   اَدَدَ   , (M, K,) mentioned by Lh, whence it se"
أرض,"Hn:) and , . , the land became abundant in herbage, or pasture.",,"1 أَرُضَتِ الأَرْضُ ذ , (S, K, [in two copies of the S أُرِضَت , but this is evidently a mistake,]) with damm, (S,) like كَرُمَت , (K,) inf. n. أَرَاضَةٌ , (S, M, K,) The land became thriving, or prod"
أرك,"The camels fed upon the kind of tree called : (S, Msb, K:) or remained, or continued, among trees of that kind, ., what are termed , eating them: (K:) or found, or lighted on, any trees whatever, and remained, or continued.",,"1 أَرَكَتِ الإِبِلُ ذ , aor. اَرُكَ and اَرِكَ , inf. n. أُرُوكٌ , The camels fed upon the kind of tree called أَرَاك : (S, Msb, K:) or remained, or continued, among trees of that kind, (ISk, S, K,) i"
أسس,,LOW_CONFIDENCE,"1 اَسڤسَ see 2, in two places."
ألل,"Mughnee c.:) or, accord.",,"اَلْ   أل   إل   ال   ولي   آل   is a particle of determination: (Mughnee &amp;c.:) or, accord. to some, it is a conjunct noun, and this is the correct opinion; but some say it is a conjunct particle;"
